Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
N2_Qst_Widom,PLD_A,0.35934347,0.572323,0.6143003191774745
N2_Qst_Widom,LFPD_A,0.2123746,0.34526852,0.6191567834738604
N2_Qst_Widom,LCD_PLD_ratio,0.14294305,0.2562914,0.6419571091090016
N2_Qst_Widom,pore_vol_cm3_g,0.33618456,0.54659826,0.6191763649877616
N2_Qst_Widom,ASA_m2_cm3,0.116202906,0.25176415,0.6842029343965488
N2_Qst_Widom,ASA_m2_g,0.13554808,0.21532734,0.6136859823113008
N2_Qst_Widom,NASA_m2_cm3,0.023075012,0.03861856,0.6259738241095699
N2_Qst_Widom,NASA_m2_g,0.022072723,0.033949755,0.606002359279587
N2_Qst_Widom,void_fraction,1.223595,1.6109889,0.568333481087444
N2_Qst_Widom,accessible_pore_vol,0.0,0.0,0.0
N2_Qst_Widom,has_oms,0.006483162,0.016765967,0.7211438815993358
N2_Qst_Widom,density_g_cm3,0.0,0.0,0.0
N2_Qst_Widom,uc_volume_A3,0.15969782,0.33948684,0.680082660997913
N2_Qst_Widom,C_mass_frac,0.050100204,0.11800817,0.7019767298139115
N2_Qst_Widom,N_mass_frac,0.032335833,0.076228656,0.7021509230525171
N2_Qst_Widom,O_mass_frac,0.12389999,0.21206515,0.6312117790984749
N2_Qst_Widom,catenation,0.018548682,0.03264311,0.6376629602692906
N2_Qst_Widom,O_coord_ratio,0.025580045,0.043766048,0.6311249291473027
N2_Qst_Widom,shortest_MM_dist,0.1209306,0.24409972,0.6687108137095268
N2_Qst_Widom,ligand_MW,0.068439305,0.15157357,0.6889304531674945
N2_Qst_Widom,ligand_LogP,0.05387553,0.12790532,0.7036237737382379
N2_Qst_Widom,ligand_n_heavy,0.010118817,0.0212211,0.6771268473985882
N2_Qst_Widom,ligand_n_aromatic_rings,0.013354208,0.03534672,0.7257915058120437
N2_Qst_Widom,ligand_n_carboxylate,0.0072082677,0.02311134,0.7622572332536088
N2_Qst_Widom,ligand_n_N_hetero,0.014328603,0.02075069,0.5915367301955319
N2_Qst_Widom,ligand_n_halogen,0.0049038106,0.013034159,0.726624012692539
N2_Qst_Widom,ligand_n_amino,0.006503104,0.017943546,0.73398789576581
N2_Qst_Widom,ligand_TPSA,0.042916693,0.09079486,0.6790353083509986
N2_Qst_Widom,metal_Co,0.004200666,0.01042385,0.7127654635216539
N2_Qst_Widom,metal_Cu,0.02465118,0.03660626,0.5975806614339081
N2_Qst_Widom,metal_Mn,0.020227537,0.046082836,0.6949566338338176
N2_Qst_Widom,metal_Ni,0.00635906,0.009303354,0.5939923607258277
N2_Qst_Widom,metal_Other,0.012924538,0.030275274,0.7008195933027503
